Pulse,Dim.1,Dim.2
LR,2.614024,5.793079
LR,6.394192,1.8160272
LR,8.516136,-0.6153918
LR,8.659518,-0.5444964
LR,8.8099785,-0.49410704
LR,9.730473,-1.3612971
LR,0.41431084,5.6007905
LR,6.0377398,2.2853396
LR,6.2729836,1.9861801
LR,6.578229,1.4197578
LR,8.744978,-0.29935613
LR,2.818826,5.135853
LR,2.9117935,5.169725
LR,2.0709414,7.852472
LR,1.9389069,8.135498
LR,1.9725182,8.077051
LR,2.9334044,5.163625
LR,2.5162616,5.3394675
LR,8.71546,4.0419273
LR,1.9282299,8.11026
LR,-0.9680355,6.976906
LR,-0.9350078,6.6954565
LR,0.37663364,5.858985
LR,0.57288146,5.9802036
LR,1.127067,6.4305453
LR,-0.7226571,6.076839
LR,1.2626767,6.485377
LR,-0.7874062,5.9029064
LR,6.622622,2.7095442
LR,0.3560783,5.832208
LR,0.89261144,6.4007363
LR,5.34657,3.4952247
LR,-0.84029275,6.023587
LR,-0.90281206,6.938547
LR,1.3637797,6.3197436
LR,-0.87457746,6.009912
LR,0.1757311,5.5955086
LR,6.6512003,2.300463
LR,8.572,-0.4103519
LR,8.691971,-0.49614128
LR,8.748154,-0.4911212
LR,8.770194,-0.43798718
LR,8.764418,-0.34820464
LR,8.774453,-0.29545605
LR,8.9828615,0.42711294
LR,0.19082735,5.6297693
LR,4.267321,4.7903214
LR,5.8195324,3.6877012
LR,6.3559136,1.8491391
LR,8.579703,4.45643
LR,0.82112575,6.4116254
LR,2.2310505,4.79314
LR,2.0088608,6.515541
LR,2.7952719,6.6504884
LR,2.918034,6.494848
LR,2.7486157,6.6295733
LR,3.1538649,6.1853213
LR,3.1325061,6.3818336
LR,2.5431767,5.4506617
LR,2.482919,6.2513123
LR,3.220904,5.946624
LR,3.2829597,5.889571
LR,2.6376188,5.3343177
LR,7.85482,1.9448984
LR,3.4747994,5.250485
LR,4.777105,4.1285067
LR,1.2989079,5.5143685
LR,6.4601345,2.2003016
LR,8.265042,-0.28770897
LR,6.817735,1.720153
LR,2.5437138,5.382535
LR,4.690569,4.2029195
LR,5.7774897,3.3820407
LR,7.484996,2.390194
LR,7.515816,2.375398
LR,7.5986185,2.258756
LR,9.974955,0.30373833
LR,5.6590157,4.409327
LR,6.7898583,1.1577682
LR,7.6686063,3.5767825
LR,9.097231,3.1356905
LR,8.955317,3.174167
LR,8.987023,3.0234473
LR,3.0967023,6.1139812
LR,2.598713,6.4241652
LR,3.1580849,6.483613
LR,2.846787,6.573817
LR,2.5745838,6.466668
LR,3.276545,5.841893
LR,7.434482,2.3563745
LR,7.68222,2.3937495
LR,1.0529388,6.596673
LR,2.0297918,6.4544353
LR,9.825415,-1.4679515
LR,7.213595,1.2692089
LR,5.9080453,4.3636374
LR,7.05793,1.3761531
LR,6.9475183,1.52631
LR,7.4328866,0.49168867
LR,7.3647003,0.42139316
LR,9.8702345,-1.461553
LR,9.919853,-1.4599823
LR,10.662971,-0.33089235
LR,10.009076,-1.5093291
LR,3.2032425,6.0590672
LR,3.1955695,6.1674376
LR,3.3456216,5.9731507
LR,3.3169196,5.998965
LR,3.170369,5.150966
LR,2.9346309,6.4679184
LR,7.5754743,3.539252
LR,3.214599,5.4368167
LR,3.278211,6.2369742
LR,5.977129,2.425723
LR,7.5562186,0.7463034
LR,1.1347558,6.7274456
LR,3.069723,5.230781
LR,2.8953326,6.5051227
LR,2.5435402,6.499812
LR,2.9368358,6.4616714
LR,5.077584,3.8011727
LR,5.289298,3.5545828
LR,6.4839163,1.6297547
LR,5.310654,4.396467
LR,5.521238,4.386933
LR,5.8826013,4.3264937
LR,6.081544,4.4888973
LR,10.313345,-1.5310707
IN,10.222972,-1.5277638
IN,8.384433,2.1869287
IN,8.276367,2.3987305
IN,10.734264,0.034933865
IN,6.847469,5.037832
IN,10.074849,0.33417484
IN,5.9407477,3.9615228
IN,5.430327,4.2860937
IN,6.282731,3.3244884
IN,4.1465693,4.541149
IN,4.6378055,4.2335386
IN,6.205696,3.3735492
IN,4.5225267,4.3131657
IN,4.3660917,4.4046206
IN,7.3363276,3.7495668
IN,6.6064534,2.1539488
IN,6.547897,4.5617003
IN,-0.22193618,5.275298
IN,1.3639017,6.530017
IN,7.481886,0.81842947
IN,7.127692,3.0082476
IN,6.638656,1.6262078
IN,8.909807,-0.46552497
IN,7.5083365,4.338261
IN,7.5430884,3.4202476
IN,5.4964,4.1629977
IN,7.520115,0.6969896
IN,7.536916,0.62361795
IN,2.1130466,5.1506553
IN,7.4747963,0.7306303
IN,1.9815534,7.9607606
IN,7.591582,0.79198265
IN,6.7906356,1.8922743
IN,6.283572,3.2863173
IN,2.9157503,5.9021544
IN,7.6750746,0.8402758
IN,7.544877,0.80311257
IN,1.4676701,5.7525406
IN,3.5385683,5.1147366
IN,0.3892072,5.5665956
IN,2.98708,5.229252
IN,3.12671,5.2780137
IN,2.5369081,5.31315
IN,2.0307887,7.8333917
IN,6.1112123,3.537324
IN,1.9213846,8.002248
IN,2.0710692,7.854665
IN,9.803961,-1.427709
IN,6.0066185,4.413154
IN,6.7851915,1.8526323
IN,0.5146799,6.2282486
IN,4.2514467,4.520127
IN,2.192332,5.560605
IN,4.9323745,3.9869258
IN,5.0550613,3.9152665
IN,4.6202683,4.2278047
IN,4.236875,4.492849
IN,4.4356666,4.392845
IN,6.7688456,3.1032796
IN,8.434621,0.13140427
IN,8.000789,4.3584733
IN,7.9539366,4.4828353
IN,8.003104,4.343562
IN,7.9768915,4.422158
IN,7.6312637,4.7171044
IN,6.687804,4.7703476
IN,5.6665454,3.8170943
IN,1.2240022,6.411259
IN,8.851238,5.027866
IN,8.845637,5.024569
IN,8.816516,5.0556903
IN,11.2689495,-1.1426362
IN,2.6078618,5.5619426
IN,0.38442793,5.564062
IN,6.6461215,2.8729007
IN,6.33017,2.00478
IN,6.57121,3.0016246
IN,5.431262,3.442132
IN,6.0828595,2.2688382
IN,6.2195125,2.519991
IN,8.889062,-0.12118951
IN,5.3186803,3.5389903
IN,6.787189,3.150766
IN,1.9837302,7.716089
IN,4.288642,4.8102183
IN,8.11247,3.7393548
IN,2.6027822,5.2907047
IN,4.6589155,4.267618
IN,7.930901,1.5383112
IN,6.6237774,2.1812532
IN,3.2798467,5.8921127
IN,7.5639987,0.30870664
IN,2.1324666,5.0390754
IN,9.869701,1.5582904
IN,6.361864,2.1136827
IN,7.1448984,0.53125054
IN,8.760853,3.3207827
IN,8.96153,3.762106
IN,2.082291,7.688159
IN,6.3469205,3.1912458
IN,4.690788,4.2107368
IN,10.006203,-0.06534188
IN,1.9567648,7.715716
IN,5.181598,3.7457457
IN,5.3777246,3.5267732
IN,4.9780035,3.9605703
IN,7.5499396,0.72319186
IN,2.5403953,7.7936296
IN,3.277561,6.083133
IN,2.961582,6.4203815
IN,6.4518743,1.7324052
IN,9.34895,-0.3472227
IN,9.770532,-0.25007105
IN,9.761077,-0.20827499
IN,10.437553,-0.11400127
IN,4.79145,4.1051455
SI,7.5837884,3.1039293
SI,8.304112,-0.51453215
SI,9.6404705,2.7032747
SI,10.777445,2.6524038
SI,3.0109193,5.2434387
SI,8.119509,2.8035474
SI,9.641294,2.8028934
SI,9.583068,2.8013701
SI,10.312322,0.9629573
SI,8.292659,2.5648346
SI,8.162793,2.507267
SI,8.439323,2.2282617
SI,8.4580555,2.3250015
SI,9.689514,2.7460003
SI,7.3923845,3.5736876
SI,7.3828607,3.6923785
SI,7.3680058,3.87213
SI,6.8284607,4.991809
SI,6.5061674,4.5764866
SI,6.913966,4.462928
SI,11.087683,3.1078534
SI,7.3550363,3.6439645
SI,7.4299335,3.6754603
SI,7.409352,3.7084715
SI,7.432466,3.6796837
SI,6.839083,4.9669833
SI,6.8809333,4.984984
SI,6.86646,4.971097
SI,6.459397,4.5883408
SI,8.569689,2.8666313
SI,7.686221,1.2145981
SI,7.4635143,3.1241448
SI,9.1101675,2.2166235
SI,6.9735827,3.3017352
SI,6.7358947,3.2410285
SI,6.6536674,3.2836602
SI,8.091749,3.7923524
SI,8.122343,3.7968173
SI,8.320372,3.7068014
SI,8.1667795,3.8662486
SI,8.262836,3.8124015
SI,8.803824,-0.37699696
SI,8.062577,1.4919711
SI,7.6777353,3.1757836
SI,9.660918,2.2206495
SI,8.412856,2.2586045
SI,8.355771,2.3186152
SI,6.8134565,4.380087
SI,6.844821,4.3017893
SI,6.774123,4.9001656
SI,9.117583,2.2334726
SI,6.8372755,4.2541695
SI,7.985311,1.1599239
SI,10.488732,2.5058532
SI,10.80587,2.631685
SI,10.658298,2.7507179
SI,10.402766,2.2698724
SI,7.826722,0.9038116
SI,8.029263,0.9350205
SI,7.8648014,1.2802732
SI,7.93689,1.5508722
SI,8.629931,2.7693489
SI,9.655043,2.686198
SI,9.910174,2.1730354
SI,8.699834,4.278851
SI,9.82713,0.5145473
SI,9.815783,0.56635803
SI,6.9824677,4.843374
SI,6.8928833,4.9313316
SI,7.890622,3.1879573
SI,8.498644,4.424591
SI,6.3585005,2.2830484
SI,7.565571,3.0617936
SI,8.18412,2.4201155
SI,8.457945,2.1811228
SI,8.523793,2.2293594
SI,9.092664,2.1673598
SI,10.0102625,1.4956933
SI,11.273232,-0.6737907
SI,11.316181,-0.786575
SI,5.5166087,4.3036613
SI,6.688667,1.4348537
SI,9.659013,2.2813213
SI,6.62298,1.4529879
SI,8.612418,-0.48199916
SI,7.507726,0.69187874
SI,7.571945,0.82683134
SI,7.8133607,0.89315045
SI,7.6441603,0.9222141
SI,7.6070266,0.9110918
SI,7.644288,0.94737005
SI,8.152559,2.406756
SI,10.355216,1.5073924
SI,8.297948,1.27224
SI,8.28091,0.9287899
SI,9.682051,2.5506938
SI,9.757689,2.1671145
SI,9.970787,2.141095
SI,9.986179,2.117164
SI,9.6864605,1.8888589
SI,8.221829,1.3150486
SI,8.178683,1.0269392
SI,8.420556,1.2540221
SI,8.612235,0.65191096
SI,9.081838,2.1892335
SI,5.855895,4.0828843
SI,9.118978,1.4367774
SI,8.23505,1.2200967
SI,8.039279,1.7761234
SI,8.990856,1.7096823
SI,8.598494,1.4663551
SI,8.845497,1.5405102
SI,8.610386,1.5586629
SI,7.85039,1.0010372
SI,8.248296,1.337223
SI,8.567981,1.4767629
SI,7.692972,3.2917993
SI,7.737427,3.6490817
SI,9.54738,2.2307873
SI,9.951705,2.2672596
SI,9.363237,2.3686259
SI,9.468723,2.4001925
SI,9.396467,2.4271445
SI,9.003585,1.9965189
SI,7.4879484,3.8982744
SI,8.172147,2.130836
SI,9.91892,3.0137126
SI,9.66677,2.7655637
SI,10.147797,3.0783925
SI,10.173298,3.113226
SI,10.153137,3.1031847
SI,10.149678,3.090624
SI,10.123298,3.0608113
SI,10.159317,3.064203
SI,9.802665,1.8050492
SI,5.630571,4.361994
SI,7.839713,3.2498705
SI,9.052857,4.33654
SI,9.83576,2.9499202
SI,10.334192,2.506524
SI,10.162549,2.547672
SI,10.739001,2.6207821
SI,10.287939,2.427797
SI,10.787583,2.4989655
SI,10.529992,2.4278042
SI,10.865105,2.5337276
SI,10.860828,2.565268
SI,10.843388,2.5755556
SI,10.11382,2.1754906
SI,10.50233,2.3614898
SI,9.499699,1.7476584
SI,10.454572,2.2972379
SI,5.4220347,3.7475984
SI,6.0814185,3.5064068
SI,6.0792084,3.5353992
SI,6.1736884,3.4123707
SI,9.415441,4.152668
SI,8.867164,2.080686
SI,8.880459,1.9104971
SI,8.786829,1.918896
SI,9.785974,1.8395222
SI,7.935238,4.5467935
SI,9.998511,2.2182803
SI,6.7846284,2.5568237
SI,7.2018046,2.4905853
SI,8.59021,4.3072066
SI,8.630645,4.475394
SI,11.048502,3.1479955
SI,11.0593,3.1455786
SI,11.061495,3.1488345
SI,11.050308,3.1374784
SI,11.024854,3.1709921
SI,6.4693017,3.3756769
SI,8.850105,4.1766973
SI,8.81845,4.205596
SI,9.077231,4.3765326
SI,9.055172,4.444931
SI,8.920947,4.271208
SI,9.129032,4.4101853
SI,9.225019,4.3621163
SI,9.221923,4.354603
SI,9.3219385,4.293636
SI,6.4693637,3.4611871
SI,6.1595035,3.5368001
SI,8.774622,4.1872363
SI,8.670228,4.1603966
SI,9.508467,0.28633803
SI,8.905454,4.1672125
