"","n.clusters","sil.coef","n.samples","randomization","Typicality"
"154",2,0.409971955729852,1,18,0.999700069389603
"155",2,0.328208594919686,2,18,0.997661224579879
"156",2,0.335785457069753,3,18,0.998036452322764
"157",2,0.310916884462427,4,18,0.995857532245165
"158",2,0.299496333523973,5,18,0.994533182685035
"159",2,0.31580649337521,6,18,0.996638384116137
"160",2,0.327862776209315,7,18,0.997660334304278
"161",2,0.311174090300486,8,18,0.996444422181492
"162",2,0.313268644865671,9,18,0.996875736494143
"163",2,0.285907985325722,1,19,0.996826469042502
"164",2,0.29638181009604,2,19,0.995362950827118
"165",2,0.291217500760275,3,19,0.994562143199092
"166",2,0.302486568658563,4,19,0.99591917372982
"167",2,0.301397648378795,5,19,0.996232182597016
"168",2,0.30220854259306,6,19,0.995235385091631
"169",2,0.317355979861,7,19,0.99736169916337
"170",2,0.304052237179731,8,19,0.995560150116271
"171",2,0.307679666086682,9,19,0.996074046345922
"172",2,0.281432613582932,1,20,0.995790109191865
"173",2,0.329813073013544,2,20,0.998308843142055
"174",2,0.321659904680651,3,20,0.997474201245208
"175",2,0.321641028302215,4,20,0.996796646835876
"176",2,0.311399630247704,5,20,0.996484162880356
"177",2,0.310981209444836,6,20,0.995529681681146
"178",2,0.316002214638834,7,20,0.996763033211085
"179",2,0.304287192912938,8,20,0.995676984716725
"180",2,0.31355926521022,9,20,0.996931685965615
"181",2,0.321394648578552,1,21,0.997758391646969
"182",2,0.365377672996933,2,21,0.999086360988513
"183",2,0.324611933036986,3,21,0.997059441103593
"184",2,0.329132122509199,4,21,0.997600249188495
"185",2,0.331311040667486,5,21,0.997639979825683
"186",2,0.30936670760048,6,21,0.996297579503318
"187",2,0.320259354984536,7,21,0.996647545618215
"188",2,0.314764631980176,8,21,0.99727437521493
"189",2,0.308579448733694,9,21,0.99627533604801
"190",2,0.300875276926851,1,22,0.994703367415995
"191",2,0.308811914890223,2,22,0.997149628709843
"192",2,0.35154697617394,3,22,0.998208803553605
"193",2,0.331776254308727,4,22,0.997376921523803
"194",2,0.317756989313906,5,22,0.997012130136578
"195",2,0.299457489262036,6,22,0.99517967034786
"196",2,0.306689587447223,7,22,0.996514955871004
"197",2,0.322625380643369,8,22,0.997130930023415
"198",2,0.314399061591044,9,22,0.996985458192303
"199",2,0.308872855300723,1,23,0.998854095795617
"200",2,0.320081031357293,2,23,0.997691551351754
"201",2,0.333160044360558,3,23,0.998501126834671
"202",2,0.300449109305341,4,23,0.995199120169465
"203",2,0.31303545950907,5,23,0.996407814549546
"204",2,0.308383334187317,6,23,0.996687923244657
"205",2,0.311385308459869,7,23,0.99631162852134
"206",2,0.306471518373007,8,23,0.996199912068691
"207",2,0.314926291849926,9,23,0.996778753569232
"208",2,0.256506556235824,1,24,0.992963580841905
"209",3,0.209162193432442,2,24,0.960704553939856
"210",2,0.313781827425418,3,24,0.996614311745801
"211",2,0.328988703735295,4,24,0.998050051921058
"212",2,0.314942503562727,5,24,0.996803433703904
"213",2,0.32426012452707,6,24,0.997355634442163
"214",2,0.316280005936874,7,24,0.996851270159341
"215",2,0.304967039092417,8,24,0.996138745395225
"216",2,0.311852885628867,9,24,0.996315754870124
"217",3,0.229124750302351,1,25,0.985782878975834
"218",2,0.335297610063018,2,25,0.99750279808462
"219",2,0.306359500025506,3,25,0.996990137655385
"220",2,0.301183667819723,4,25,0.994495878024248
"221",2,0.292895176123737,5,25,0.994346869000719
"222",2,0.311871190431422,6,25,0.996410306133886
"223",2,0.307643644632123,7,25,0.996254721799799
"224",2,0.307076605262508,8,25,0.99636357402856
"225",2,0.306909595267151,9,25,0.996056365652966
