New.Pulse,Cluster_Typical,Clip.Name,affinity.id,Pulse.Type,Source.Name,Selection,Tonal,Begin.Time.s,End.Time.s,Low.Freq.Hz,High.Freq.Hz,Begin.File,Male_ID,meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5..Hz,Freq.95..Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50..Hz,BW.90..Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50..s,Dur.90..s,Freq.25..Hz,Freq.75..Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz.ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz.ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz.ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25..Rel.,Time.5..Rel.,Time.75..Rel.,Time.95..Rel.,Freq_IQR,Time_IQR,F0_min,F0_max
S,2,2013-07-11 094726_MZ000118-CHAZ_LC_WE_22.WAV,616,SI,2013-07-11 094726_MZ000118-CHAZ_LC_WE.txt,22,y,56.23185041,56.7404,50,1000,2013-07-11 094726_MZ000118-CHAZ_LC_WE.WAV,CHAZ,0.23,0.14,3.23,13.04,0.78,0.86,0.67,0.2,0.18,0.1,0.31,0.2,1.63,0.31,0.23,-0.14,0.17,0.51,145.34,242.23,4.44,3.87,26.91,96.89,188.4,0.37,0.07,0.21,177.63,204.55,188.4,-0.22,269.14,5.71,86.13,-1.52,2,0.37,0.31,0.17,0.46,0.6,26.91,0.14,0.08,0.24
S,NA,2013-07-12 063154_MZ000133-CHAZ_LC_WE_21.WAV,616,SI,2013-07-12 063154_MZ000133-CHAZ_LC_WE.txt,21,y,32.73453794,32.96384403,50,400,2013-07-12 063154_MZ000133-CHAZ_LC_WE.WAV,CHAZ,0.22,0.07,1.16,3.04,0.87,0.94,0.82,0.46,0.21,0.16,0.3,0.14,1.38,0.2,0.29,0.38,0.15,0.23,145.34,301.44,4.63,4.22,43.06,156.1,183.02,0.4,0.06,0.13,166.87,209.93,183.02,-0.18,290.67,9.89,150.72,-9.51,3,0.33,0.27,0.13,0.53,0.73,43.06,0.27,0.14,0.19
R,1,2013-07-14 121858_MZ000141-BOBO_LC_WE_10.WAV,16,HU,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,10,n,15.59752284,16.34822321,50,1500,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.55,0.28,2.23,9.97,0.93,0.85,0.79,0.53,0.46,0.06,0.79,0.73,2.65,0.23,0.4,0.23,0.41,0.75,236.84,758.98,6.45,5.73,204.55,522.13,527.52,0.87,0.51,0.65,403.71,608.26,392.95,0.58,780.51,44.51,150.72,-17.12,8,0.92,0.23,0.08,0.92,0.96,204.55,0.69,0.23,1.5
R,1,2013-07-14 121858_MZ000141-BOBO_LC_WE_18.WAV,16,HR,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,18,Y,32.09449025,33.14470679,50,1000,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.51,0.22,1.97,7.84,0.92,0.85,0.78,0.51,0.43,0.09,0.95,0.86,5.73,0.2,0.39,0.18,0.33,1.05,220.7,581.34,5.49,4.43,48.45,360.65,344.5,0.85,0.54,0.91,328.35,376.8,344.5,0.12,586.73,6.85,188.4,-14.07,5,0.88,0.38,0.08,0.89,0.95,48.45,0.51,0.2,0.59
R,1,2013-07-14 121858_MZ000141-BOBO_LC_WE_19.WAV,812,HR,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,19,Y,34.37927413,35.45962057,50,1000,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.46,0.2,2.48,10.95,0.9,0.85,0.76,0.44,0.36,0.06,0.96,0.9,5.08,0.19,0.33,0.13,0.33,1.08,220.7,516.75,5.18,4.26,37.68,296.06,333.73,0.85,0.64,0.89,317.59,355.27,339.12,0.26,532.9,8.75,59.21,-11.79,6,0.87,0.28,0.09,0.88,0.93,37.68,0.6,0.19,0.53
I,NA,2013-07-14 121858_MZ000141-BOBO_LC_WE_22.WAV,812,LR,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,22,Y,41.69901375,42.85646904,50,1000,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.37,0.18,4.46,27.06,0.81,0.85,0.69,0.25,0.26,0.18,0.3,0.12,2,0.18,0.29,0.09,0.23,1.16,209.93,511.37,4.76,3.31,48.45,301.44,269.14,0.59,0.47,0.91,242.23,290.67,290.67,0.11,290.67,3.42,161.48,-0.38,6,0.74,0.32,0.1,0.73,0.89,48.45,0.41,0.19,0.29
S,2,2013-07-14 121858_MZ000141-BOBO_LC_WE_29.WAV,616,SI,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,29,Y,51.50574207,52.2632652,50,1000,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.28,0.16,1.88,6.65,0.89,0.85,0.76,0.37,0.18,0.08,0.3,0.22,3.1,0.3,0.08,-0.28,0.18,0.76,123.81,366.03,5.56,4.55,69.98,242.23,215.31,0.21,0.11,0.47,183.02,252.99,204.55,-0.31,296.06,8.75,64.59,-9.89,4,0.19,0.17,0.08,0.32,0.7,69.98,0.15,0.08,0.28
S,NA,2013-07-14 121858_MZ000141-BOBO_LC_WE_37.WAV,812,SI,2013-07-14 121858_MZ000141-BOBO_LC_WE.txt,37,Y,59.74946132,59.94662488,50,1000,2013-07-14 121858_MZ000141-BOBO_LC_WE.WAV,BOBO,0.31,0.21,1.74,5.67,0.88,0.95,0.83,0.43,0.23,0.1,0.33,0.23,1.67,0.33,0.25,-0.38,0.25,0.2,107.66,398.33,5.74,5.37,145.34,290.67,263.76,0.15,0.04,0.13,177.63,322.97,322.97,0.35,387.56,10.27,102.27,-11.03,3,0.08,0.08,0,0.31,0.69,145.34,0.23,0.08,0.17
S,2,2013-07-17 095030_MZ000153-NIKO_LC_WE_7.WAV,616,SI,2013-07-17 095030_MZ000153-NIKO_LC_WE.txt,7,n,18.7527228,19.33404416,50,700,2013-07-17 095030_MZ000153-NIKO_LC_WE.WAV,NIKO,0.21,0.14,3,13.98,0.87,0.86,0.75,0.4,0.12,0.07,0.27,0.2,3.05,0.11,0.07,-0.07,0.05,0.58,64.59,296.06,4.82,4.43,161.48,231.46,96.89,0.43,0.17,0.42,86.13,247.61,91.51,-0.06,263.76,11.03,64.59,-13.69,7,0.4,0.35,0.1,0.65,0.85,161.48,0.3,0.07,0.11
R,NA,2013-07-17 095030_MZ000153-NIKO_LC_WE_23.WAV,812,HR,2013-07-17 095030_MZ000153-NIKO_LC_WE.txt,23,y,42.25686318,43.46366227,50,1000,2013-07-17 095030_MZ000153-NIKO_LC_WE.WAV,NIKO,0.49,0.2,4.15,24.67,0.85,0.85,0.73,0.37,0.39,0.22,0.52,0.3,2.79,0.31,0.22,-0.07,0.36,1.21,317.59,516.75,5.19,3.45,69.98,199.16,387.56,0.31,0.45,0.91,349.88,419.86,333.73,-0.05,511.37,14.84,215.31,-20.54,6,0.15,0.19,0.12,0.57,0.88,69.98,0.38,0.22,0.44
