meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.76,0.28,1.91,7.31,0.93,0.85,0.79,0.51,0.55,0.34,0.86,0.52,8.56,0.34,0.39,0.05,0.42,1.15,398.33,1087.33,6.82,5.95,366.03,689,694.38,0.51,0.45,0.83,441.39,807.42,436.01,0.07,818.19,22.44,339.12,-26.63,18,0.88,0.35,0.19,0.75,0.93,366.03,0.4,0.01,0.72,HR,0.997156646,0.002843354,0.994313292,1,TRUE,FALSE,1,NA
0.8,0.29,2.13,11.45,0.95,0.85,0.8,0.62,0.69,0.35,1.09,0.74,5.06,0.35,0.45,0.1,0.45,1.02,430.63,1065.8,6.33,6.24,403.71,635.17,511.37,0.92,0.07,0.37,452.16,855.87,441.39,0.1,931.23,33.85,328.35,-19.02,11,0.94,0.86,0.61,0.93,0.97,403.71,0.07,0.01,0.73,HR,0.993478315,0.006521685,0.98695663,1,TRUE,FALSE,1,NA
0.81,0.32,1.49,5.88,0.95,0.85,0.81,0.63,0.62,0.27,1.09,0.82,6,0.36,0.92,0.58,0.46,0.96,317.59,1168.07,7.25,6.35,430.63,850.48,678.23,0.81,0.3,0.76,468.31,898.93,473.69,0.37,915.08,23.58,285.29,-26.63,16,0.88,0.57,0.13,0.88,0.94,430.63,0.31,0.01,0.49,HR,0.99600892,0.00399108,0.992017841,1,TRUE,FALSE,1,NA
0.76,0.3,2.94,13.87,0.9,0.85,0.77,0.43,0.48,0.06,1.01,0.95,4.65,0.06,0.35,0.33,0.43,0.82,382.18,1060.41,6.4,5.19,425.24,678.23,468.31,0.51,0.33,0.55,430.63,855.87,419.86,0.26,721.3,23.96,150.72,-25.49,5,0.28,0.35,0.25,0.75,0.93,425.24,0.4,0.16,0.5,HR,0.998633265,0.001366735,0.99726653,1,TRUE,FALSE,1,NA
0.64,0.3,3.8,19.94,0.89,0.85,0.75,0.42,0.38,0.06,0.47,0.41,2.37,0.06,0.36,0.29,0.38,1.04,333.73,882.78,5.64,4.64,64.59,549.05,403.71,0.67,0.17,0.55,382.18,446.77,409.09,0.18,457.54,11.41,166.87,-2.66,10,0.65,0.56,0.28,0.72,0.82,64.59,0.17,0.15,0.45,HR,0.996722542,0.003277458,0.993445083,1,TRUE,FALSE,1,NA
0.62,0.28,3.7,19.23,0.87,0.85,0.74,0.32,0.36,0.18,0.82,0.65,3.85,0.18,0.36,0.16,0.36,1.17,306.82,861.25,5.56,4.3,59.21,554.43,382.18,0.57,0.18,0.68,366.03,425.24,376.8,0.15,807.42,35.76,172.25,-38.42,8,0.57,0.49,0.28,0.65,0.87,59.21,0.16,0.18,0.43,HR,0.999202503,0.000797497,0.998405005,1,TRUE,FALSE,1,NA
0.5,0.23,6.37,51.28,0.84,0.85,0.72,0.36,0.31,0.18,0.58,0.4,2.24,0.18,0.36,0.17,0.28,1.06,258.38,796.66,4.7,3.76,16.15,538.28,317.59,0.55,0.27,0.71,312.2,328.35,312.2,0.19,382.18,7.99,166.87,-1.14,5,0.46,0.46,0.24,0.72,0.92,16.15,0.26,0.1,0.33,HR,0.972000754,0.027999246,0.944001507,1,FALSE,FALSE,NA,NA
0.6,0.17,3.69,19.08,0.87,0.85,0.74,0.31,0.5,0.33,0.55,0.23,4.9,0.33,0.55,0.24,0.49,0.96,376.8,828.95,5.55,4.67,69.98,452.16,505.98,0.63,0.34,0.64,473.69,543.66,532.9,0.05,554.43,12.55,322.97,-12.17,9,0.66,0.43,0.21,0.79,0.88,69.98,0.36,0.32,0.55,HR,0.999057302,0.000942698,0.998114604,1,TRUE,FALSE,1,NA
0.6,0.19,3.3,18.91,0.92,0.85,0.78,0.43,0.47,0.19,0.69,0.51,3.23,0.19,0.68,0.45,0.49,1.09,317.59,872.02,6.36,5.13,102.27,554.43,505.98,0.67,0.45,0.75,441.39,543.66,522.13,0.48,683.62,12.93,156.1,-7.23,11,0.45,0.42,0.21,0.84,0.91,102.27,0.42,0.18,0.54,HR,0.999619354,0.000380646,0.999238709,1,TRUE,FALSE,1,NA
0.63,0.19,3.29,17.05,0.88,0.85,0.75,0.3,0.52,0.33,0.83,0.51,4.94,0.47,0.47,0,0.49,0.98,382.18,920.46,5.87,4.96,80.74,538.28,500.6,0.55,0.38,0.74,479.07,559.81,500.6,0.11,828.95,27.39,328.35,-24.35,11,0.55,0.42,0.16,0.81,0.91,80.74,0.39,0.3,0.59,HR,0.999433927,0.000566073,0.998867853,1,TRUE,FALSE,1,NA
